year,OdName,CODE,number,AreaName,RegName,DevName
1981,Greece,GRC,5040,Europe,Southern Europe,Developed regions
1981,Greenland,GRL,0,Northern America,Northern America,Developed regions
1981,Grenada,GRD,0,Latin America and the Caribbean,Caribbean,Developing regions
1981,Guadeloupe,GLP,0,Latin America and the Caribbean,Caribbean,Developing regions
1981,Guam,GUM,20,Oceania,Micronesia,Developing regions
1981,Guatemala,GTM,0,Latin America and the Caribbean,Central America,Developing regions
1981,Guinea,GIN,0,Africa,Western Africa,Developing regions
1981,Guinea-Bissau,GNB,0,Africa,Western Africa,Developing regions
1981,Guyana,GUY,10,Latin America and the Caribbean,South America,Developing regions
1981,Haiti,HTI,0,Latin America and the Caribbean,Caribbean,Developing regions
1981,Holy See,VAT,0,Europe,Southern Europe,Developed regions
1981,Honduras,HND,10,Latin America and the Caribbean,Central America,Developing regions
1981,Hungary,HUN,100,Europe,Eastern Europe,Developed regions
1981,Iceland,ISL,40,Europe,Northern Europe,Developed regions
1981,India,IND,1560,Asia,Southern Asia,Developing regions
1981,Indonesia,IDN,4400,Asia,South-Eastern Asia,Developing regions
1981,United Kingdom,IRN,170,Asia,Southern Asia,Developing regions
1981,Iraq,IRQ,200,Asia,Western Asia,Developing regions
1981,Ireland,IRL,1470,Europe,Northern Europe,Developed regions
1981,Israel,ISR,950,Asia,Western Asia,Developing regions
1981,Italy,ITA,4310,Europe,Southern Europe,Developed regions
1981,Jamaica,JAM,20,Latin America and the Caribbean,Caribbean,Developing regions
1981,Japan,JPN,2980,Asia,Eastern Asia,Developed regions
1981,Jordan,JOR,60,Asia,Western Asia,Developing regions
1981,Kazakhstan,KAZ,0,Asia,Central Asia,Developing regions
1981,Kenya,KEN,180,Africa,Eastern Africa,Developing regions
1981,Kiribati,KIR,0,Oceania,Micronesia,Developing regions
1981,Kuwait,KWT,50,Asia,Western Asia,Developing regions
1981,Kyrgyzstan,KGZ,0,Asia,Central Asia,Developing regions
1981,Lao People's Democratic Republic,LAO,20,Asia,South-Eastern Asia,Developing regions
1981,Latvia,LVA,0,Europe,Northern Europe,Developed regions
1981,Lebanon,LBN,1350,Asia,Western Asia,Developing regions
1981,Lesotho,LSO,10,Africa,Southern Africa,Developing regions
1981,Liberia,LBR,0,Africa,Western Africa,Developing regions
1981,Libya,LBY,80,Africa,Northern Africa,Developing regions
1981,Liechtenstein,LIE,0,Europe,Western Europe,Developed regions
1981,Lithuania,LTU,0,Europe,Northern Europe,Developed regions
1981,Luxembourg,LUX,20,Europe,Western Europe,Developed regions
1981,Madagascar,MDG,0,Africa,Eastern Africa,Developing regions
1981,Malawi,MWI,30,Africa,Eastern Africa,Developing regions
1981,Malaysia,MYS,14420,Asia,South-Eastern Asia,Developing regions
1981,Maldives,MDV,20,Asia,Southern Asia,Developing regions
1981,Mali,MLI,0,Africa,Western Africa,Developing regions
1981,Malta,MLT,1850,Europe,Southern Europe,Developed regions
1981,Marshall Islands,MHL,0,Oceania,Micronesia,Developing regions
1981,Martinique,MTQ,0,Latin America and the Caribbean,Caribbean,Developing regions
1981,Mauritania,MRT,0,Africa,Western Africa,Developing regions
1981,Mauritius,MUS,240,Africa,Eastern Africa,Developing regions
1981,Mayotte,MYT ,0,Africa,Eastern Africa,Developing regions
1981,Mexico,MEX,120,Latin America and the Caribbean,Central America,Developing regions
1981,Micronesia (Federated States of),FSM,0,Oceania,Micronesia,Developing regions
1981,Monaco,MCO,0,Europe,Western Europe,Developed regions
1981,Mongolia,MNG,0,Asia,Eastern Asia,Developing regions
1981,Montserrat,MSR,0,Latin America and the Caribbean,Caribbean,Developing regions
1981,Morocco,MAR,20,Africa,Northern Africa,Developing regions
1981,Mozambique,MOZ,0,Africa,Eastern Africa,Developing regions
1981,Myanmar,MMR,70,Asia,South-Eastern Asia,Developing regions
1981,Namibia,NAM,0,Africa,Southern Africa,Developing regions
1981,Nauru,NRU,120,Oceania,Micronesia,Developing regions
1981,Nepal,NPL,60,Asia,Southern Asia,Developing regions
1981,Netherlands,NLD,3330,Europe,Western Europe,Developed regions
1981,New Caledonia,NCL,150,Oceania,Melanesia,Developing regions
1981,New Zealand,NZL,34440,Oceania,Australia and New Zealand,Developed regions
1981,Nicaragua,NIC,0,Latin America and the Caribbean,Central America,Developing regions
1981,Niger,NER,20,Africa,Western Africa,Developing regions
1981,Nigeria,NGA,140,Africa,Western Africa,Developing regions
1981,Niue,NIU,0,Oceania,Polynesia,Developing regions
1981,Northern Mariana Islands,MNP,0,Oceania,Micronesia,Developing regions
1981,Norway,NOR,190,Europe,Northern Europe,Developed regions
1981,Oman,OMN,20,Asia,Western Asia,Developing regions
1981,Pakistan,PAK,420,Asia,Southern Asia,Developing regions
1981,Palau,PLW,0,Oceania,Micronesia,Developing regions
1981,Panama,PAN,10,Latin America and the Caribbean,Central America,Developing regions
1981,Papua New Guinea,PNG,5820,Oceania,Melanesia,Developing regions
1981,Paraguay,PRY,0,Latin America and the Caribbean,South America,Developing regions
1981,Peru,PER,160,Latin America and the Caribbean,South America,Developing regions
1981,Philippines,PHL,4050,Asia,South-Eastern Asia,Developing regions
1981,Poland,POL,630,Europe,Eastern Europe,Developed regions
1981,Portugal,PRT,1710,Europe,Southern Europe,Developed regions
1981,Puerto Rico,PRI,0,Latin America and the Caribbean,Caribbean,Developing regions
1981,Qatar,QAT,30,Asia,Western Asia,Developing regions
1981,Republic of Korea,KOR,620,Asia,Eastern Asia,Developing regions
1981,Republic of Moldova,MDA,0,Europe,Eastern Europe,Developed regions
1981,Réunion,REU,0,Africa,Eastern Africa,Developing regions
1981,Romania,ROU,240,Europe,Eastern Europe,Developed regions
1981,Russian Federation,RUS,0,Europe,Eastern Europe,Developed regions
1981,Rwanda,RWA,0,Africa,Eastern Africa,Developing regions
1981,Saint Helena,SHN,0,Africa,Western Africa,Developing regions
1981,Saint Kitts and Nevis,KNA,0,Latin America and the Caribbean,Caribbean,Developing regions
1981,Saint Lucia,LCA,0,Latin America and the Caribbean,Caribbean,Developing regions
1981,Saint Vincent and the Grenadines,VCT,0,Latin America and the Caribbean,Caribbean,Developing regions
1981,Samoa,WSM,120,Oceania,Polynesia,Developing regions
1981,Saudi Arabia,SAU,210,Asia,Western Asia,Developing regions
1981,Senegal,SEN,0,Africa,Western Africa,Developing regions
1981,Seychelles,SYC,60,Africa,Eastern Africa,Developing regions
1981,Sierra Leone,SLE,0,Africa,Western Africa,Developing regions
